인증사회적기업 리스트('16년 6차) 2016.12.27.,,,,,,,,,,,,
,,,,,,,,,,,,
지역,인증번호,기관명,사업내용,"사회적목적
실현유형",사회서비스분야,대표자,대표전화번호,팩스,소재지,홈페이지,인증일자,인증회차
경기,제2010-053호,사)샛별공동체 샛별재활원,"중증장애인, 취약계층을 고용하여 재생토너사업, 봉투제조, 사무용",일자리제공형,사회복지,이수경,031-457-5039,031-477-9835,경기도 성남시 중원구 상대원동 190-1 sk테크노파크 메가동 b101호,www.sejongsupport.or.kr,7/30/10,2010년 2차
전북,제2010-055호,(유)아름다운환경,잡병선별판매 및 재활용 매장운용,일자리제공형,환경,육이수,063-232-8382,063-232-9712,전라북도 전주시 완산구 경원동 3가 31-1 옥성문화센터4층 (사)전라북도실업자종합지원센터,jbuc.or.kr,7/30/10,2010년 2차
전북,제2010-056호,(유)행복나누미,"재활용품 수거, 매각",일자리제공형,환경,김형섭,063)838-0044,063-838-0041,전라북도 익산시 부송동 157-93,,7/30/10,2010년 2차
전남,제2010-057호,농업회사법인 남도식품주식회사,"유기농 친환경농산물(어성초, 삼백초, 작두콩, 녹차, 복분자)을 재배하여 가공식품 판매",일자리제공형,기타,박용한,061-863-8077,061-863-8087,전라남도 장흥군 유치면 신월리 306-1,www.ndfood.co.kr,7/30/10,2010년 2차
충남,제2010-058호,하늘땅영농조합법인,"장애인을 고용한 농산물(딸기, 밤, 대추 등) 가공",일자리제공형,기타,곽덕철,041-733-1112,041-733-1113,충청남도 논산시 부적면 남마구평길 96,www.nsyesmin.co.kr,7/30/10,2010년 2차
충북,제2010-060호,청주지역공동체시민센터,가정방문보육서비스,혼합형,보육,김태윤,043-283-0787,043-263-8848,"충청북도 청주시 흥덕구 사직대로 82(사창동, 3층)",www.esimn.co.kr,7/30/10,2010년 2차
충남,제2010-061호,㈜천안돌봄사회서비스센터,"노인재가요양, 장애인 지역사회 재활시설",일자리제공형,간병가사지원,정경록,041-564-0350,041-573-0615,"충청남도 천안시 서북구 성정두정로12, 305호(성정동, 두정메트로존)",www.ecare.or.kr,7/30/10,2010년 2차
충북,제2010-062호,㈜희망그린마을,"복지,교육,노동이 공존하는 마을조성 및 도농연계 프로그램",혼합형,사회복지,방대진,043-651-5800,043-651-5800,충청북도 제천군 봉양읍 원박리 929-1,www.희망그린마을.com,7/30/10,2010년 2차
경남,제2010-063호,유한회사 김해돌봄지원센터,방문 요양`목욕 서비스 제공,혼합형,간병가사지원,백소연,055-329-6371,055-905-6644,"경상남도 김해시 분성로 194번길 58, 201호(외동)",www.일사.한국,7/30/10,2010년 2차
제주,제주특별자치도 제2010-002호,사단법인 일하는 사람들,"청소, 방역",혼합형,청소,김경환,064-733-8223,064-763-8221,제주특별자치도 서귀포시 동홍동 1378-1,,7/29/10,2010년 2차
서울,제2010-065호,㈜아트브릿지,체험형 교육연극 공연사업,기타형,문화예술,신현길,02-741-3581,02-741-3583,서울특별시 종로구 창신길 119(창신동),www.arbridge.or.kr,10/20/10,2010년 3차
서울,제2010-066호,(사)한국장애인이워크협회 일자리사업장,"중증장애인생산품생산지정 사업(CCTV, LED, 인쇄외)",일자리제공형,기타,조무호,02-2272-0307,02-2272-0317,"서울특별시 금천구 가산디지털2로 114 A-102(가산동, 한국전자협회동조합공장)",www.e-work.or.kr/,10/20/10,2010년 3차
서울,제2010-067호,풀빛문화연대,"숲학교 네트워크사업(생태환경교육, 숲해설, 자연체험 등의 서비스제공)",혼합형,교육,조승무,02-332-2010,02-332-5258,서울특별시 종로구 자하문로2길 18(적선동),gcnet.or.kr,10/20/10,2010년 3차
서울,제2010-068호,㈜이야기꾼의 책공연,찾아가는 책공연 및 교육사업,기타형,문화예술,김형아,02-2676-1013,070-4170-4030,서울특별시 영등포구 영등포동7가 57 하자센터 208호,www.bookteller.net,10/20/10,2010년 3차
서울,제2010-069호,㈜대지를 위한 바느질,"친환경 결혼 전반, 친환경 리빙 제품, 오가닉 의류, 에코 가이드북 출판 등",기타형,환경,이경재,070-8840-8826,02-743-8840,서울특별시 성북구 성북로12길 8 (성북동),www.ecouniform.co.kr,10/20/10,2010년 3차
서울,제2010-070호,㈜영화제작소 눈,"영화, 영상제작 및 미디어 교육",기타형,문화예술,강경환,070-4268-9964,02-2679-9300,서울특별시 영등포구 영등포동 7가 영등포역 고가로 79 하자센터 107호,cafe.daum.net/senoon,10/20/10,2010년 3차
서울,제2010-071호,사회복지법인 해든디자인플러스,"판촉물, 광고, 기획, 중철, 제본 등의 인쇄·출판 사업",일자리제공형,사회복지,선효진,02-868-6854,02-866-8405,"서울특별시 금천구 범안로 1130 216(가산동, 디지털엠파이어빌딩)",www.해든.kr,10/20/10,2010년 3차
서울,제2010-072호,㈜심원테크,재제조 토너카트리지 생산/판매,일자리제공형,기타,김준호,02-2627-5650,02-3463-0069,서울특별시 금천구 가산동 319 호서벤처타워 408호,www.simwontc.com,10/20/10,2010년 3차
경기,제2010-075호,주식회사 에이치앤에스두리반,"쌀과자 생산, 포장, 판매",일자리제공형,기타,김성현,031-8059-6090,031-354-6092,경기도 화성시 팔탄면 푸른들판로 622,www.dooriban.co.kr,10/20/10,2010년 3차
경기,제2010-076호,사단법인 희망의 숲,"재활치료 및 교육
언어치료, 인지치료, 작업치료, 감각통합치료 등
가정방문상담 및 지원",사회서비스제공형,사회복지,전혜순,031-284-0720,031-284-0725,"경기도 용인시 기흥구 신갈로 140(신갈동, 한솔프라자202호)",www.jangmi.org,10/20/10,2010년 3차
경기,제2010-077호,(사)함께하는 세상 삼우보호작업장,"복사용지, 화장지 생산",일자리제공형,기타,박종혁,031-692-0097,031-691-4464,경기도 평택시 팽성읍 송화리 264-11,,10/20/10,2010년 3차
경기,제2010-078호,㈜맑은누리,"경비 및 주차관리, 청소일자리제공, 재활용",일자리제공형,청소,서순화,031-405-1203,031-405-1202,경기도 안산시 단원구 신길중앙로5길 20-17,www.malgeun.or.kr,10/20/10,2010년 3차
경기,제2010-079호,㈜작은자리돌봄센터,"산모신생아도우미, 노인재가요양",일자리제공형,간병가사지원,안민희,031-313-2732,031-315-2784,"경기도 시흥시 대은로 5,4층(대야동)",http://www.jjh.or.kr,10/20/10,2010년 3차
서울,제2010-080호,㈜한누리,"위생관리 청소용역, 각종 대행 청소",일자리제공형,청소,이태호,02-6084-5130,02-6013-5130,"서울특별시 서대문구 신촌로 25(창천동,2층)",,10/20/10,2010년 3차
경기,제2010-081호,사회복지법인 한국청각장애인복지회 청음공방,장애인복지서비스 제공 및 가구제작,일자리제공형,기타,최성환,031-532-2164,031-533-6613,경기도 포천시 내촌면 부마로282번길 99,www.chungeum.co.kr,10/20/10,2010년 3차
경기,제2010-082호,㈜대인인더스트리,"농협 하나로마트와 판매(입점) 계약체결, 중소기업 및 사회적기업 제품의 유통 및 관리대행, 취약계층을 위한 교육 및 취업",일자리제공형,기타,이기훈,070-7592-4116,031-903-5481,경기도 고양시 일산동구 백석동 1330 브라운스톤 101동 1108호,,10/20/10,2010년 3차
경기,제2010-084호,온디자인 주식회사,"웹싸이트구축, 편집디자인, 디자인 컨설팅, 디자인프로보보사업 등 디자인 관련 사업",혼합형,기타,천미애,031-701-0436,031-701-6149,"경기도 성남시 중원구 산성대로 198 303(성남동, 영건센스빌오피스텔)",www.on-design.co.kr,10/20/10,2010년 3차
강원,제2010-085호,(사)문화프로덕션도모,"무대공연 예술제작지원사업(전문스텝지원, 문화예술교육, 기획)",사회서비스제공형,문화예술,황운기,033-253-7111,033-253-7122,"강원도 춘천시 서부대성로 71(옥천동, 예술마당도모)",www.artdomo.net,10/20/10,2010년 3차
강원,제2010-086호, 유한회사 다자원,폐기물 재활용시장의 지역네트워크 구축 ,일자리제공형,환경,김동섭,"033-734-4141
070-7721-4141",033-648-5264,강원도 원주시 흥업면 사제리 908,,10/20/10,2010년 3차
강원,제2010-087호, 유한회사 천향,천연수제비누 제조․판매,일자리제공형,기타,이해우,033-641-1033,0303-3443-1033,강원도 강릉시 율곡로 3020 (교동),www.skysoap.kr,10/20/10,2010년 3차
부산,제2010-089호,(사)여성정책연구소 엄마사랑보육센터,보육 및 방과후학습 도우미 재가파견사업,일자리제공형,보육,오경희,051-327-9700,051-327-0087,부산광역시 사상구 괘법동 558-2 송원빌딩9층,www.bbsmom.com,10/20/10,2010년 3차
경남,제2010-090호,해피푸드 주식회사,도시락,일자리제공형,기타,김미숙,055-540-0232,055-551-7550,경상남도 창원시 진해구 풍호동 1 (3층),www.happyfoodbox.co.kr,10/20/10,2010년 3차
울산,제2010-091호,주식회사 로컬푸드,로컬푸드사업/생태문화교실운영,기타형,기타,김봉재,052-211-0302,052-211-0910,울산광역시 울주군 범서읍 천상리 22B 1L ,http://www.ecobeomseo,10/20/10,2010년 3차
울산,제2010-092호,사단법인 에코누리,버려지는 자원을 재활용하는 나눔재활용 사업,일자리제공형,환경,민정곤,052-256-2994,052-285-0994,울산광역시 울주군 삼남면 화림정 1길 6,www.나눔.kr,10/20/10,2010년 3차
울산,제2010-093호,울산청년실업극복센터 희망나눔1030사업단,저소득층 교육서비스 지원사업,사회서비스제공형,교육,이은정,052-291-2039,052-293-7944,울산광역시 중구 반구2동 262-38 4층,,10/20/10,2010년 3차
경남,제2010-094호,㈜블루인더스,산업안전용품 및 환경용품 제조·판매,일자리제공형,기타,정천식,051-583-4560,055-383-4561,경상남도 양산시 어곡동 223번지,www.blueind.co.kr,10/20/10,2010년 3차
경남,제2010-095호,진주시민미디어센터,"영상물 상영 및 배급, 영상물 제작, 영상미디어 교육",기타형,문화예술,성중곤,055-748-7306,070-8988-7306,"경상남도 진주시 진주대로 506-1 (가좌동, 3층)",www.jjmedia.or.kr,10/20/10,2010년 3차
대구,제2010-097호,청소년평화나눔센터 피스트레이드사업단,공정무역물품 및 수공예품 제작 판매 등,일자리제공형,기타,김경민,053-426-2275,053-426-1204,대구광역시 중구 삼덕3가동 2020-2,www.ypeace.or.kr,10/20/10,2010년 3차
대구,제2010-098호,주식회사 햇빛나들이,"노인 및 장애인을 위한 햇빛나들이 사업단, 행사 물품 및 인력의 임대판매사업",일자리제공형,사회복지,"하종호, 김은화",053-634-0029,053-634-5346,"대구광역시 달서구 송현로 113, 임대상가 208호",www.ws1004.or.kr,10/20/10,2010년 3차
대구,제2010-099호,(사)색동회 대구지회,"동화구연, 동극 인연극 공연",일자리제공형,문화예술,이정도,053-653-7995,053-653-7995,대구광역시 달서구 명덕로 17,www.ilovesd.kr,10/20/10,2010년 3차
대구,제2010-100호,대구가톨릭사회복지회 달서구본동종합사회복지관 늘푸르미,"도시락, 출장뷔페",일자리제공형,기타,최미양,053-636-5567,053-636-5569,대구광역시 달서구 송현로 113(송현동),www.pumasi.or.kr,10/20/10,2010년 3차
경북,제2010-101호,㈜포스코휴먼스,"스틸하우스 제작, 시공, 작업복 세탁, IT 위탁",일자리제공형,기타,허태구,054-230-9000,054-230-9100,경상북도 포항시 남구 동해안로 6213번길 15-1(동촌동),www.poscohumans.com,10/20/10,2010년 3차
경북,제2010-102호,㈜드림앤해피워크,집수리 등 주거환경 개선 및 개조사업,일자리제공형,기타,황윤길,054-783-4466,054-783-4467,경상북도 울진군 기성면 망양로 73,www.dreamhappywork.co.kr,10/20/10,2010년 3차
경북,제2010-103호,구미 YMCA 아가야 사업단,"파견보육,공간보육,베이비시터양성",일자리제공형,보육,이봉도,054-452-4008,054-471-7896,경상북도 구미시 송정동 54-15,cafe.daum.net/guagaya,10/20/10,2010년 3차
경북,제2010-104호,청송슬로푸드영농조합법인,재래식 장류식품 생산판매,일자리제공형,기타,황진호,070-7690-2227,054-253-2226,경상북도 청송군 진보면 부곡리 337-8,,10/20/10,2010년 3차
광주,제2010-105호,엠마우스일터,"장애인직접재활사업(국산 참기름류, 천연수제비누 제품생산, EM발효액 제품생산 등)",일자리제공형,기타,김명선,062-371-8801,062-371-8803,광주광역시 서구 금호동 371-6,www.emmausac.or.kr,10/20/10,2010년 3차
전남,제2010-106호,(사)농어촌정보화전남협회,"전자제품 재활용, 전시부스 제조 및 시공, 웹 컨설팅 사업",혼합형,기타,제갈연,061-333-6009,061-333-6009,"전라남도 나주시 시청길 15-8 , 302 (송월동)",www.itin.or.kr,10/20/10,2010년 3차
전북,제2010-107호,동그라미플러스,"육포 생산 및 판매, 서각 및 압화 생산 및 판매, 임가공 사업",일자리제공형,기타,구형선,063-831-7350,063-835-7350,전라북도 익산시 석왕동 1-5,www.dongplus.com,10/20/10,2010년 3차
전남,제2010-109호,사단법인 한걸음 더,활동보조인 파견사업,혼합형,간병가사지원,임걸,070-8790-5825,061-276-3767,"전라남도 목포시 비파로 63 (상동, 동아빌딜3층302호)",,10/20/10,2010년 3차
전남,제2010-110호,(유)사회적기업 유비에코,"전라남도 소재 산업단지 내 폐자원 선별, 재활용, 수거 등을 통한 산업단지 환경개선 사업",일자리제공형,환경,이승용,061-273-0068,061-273-0069,"전라남도 목포시 상동로 66 (상동, 주공아파트3차상가211호)",,10/20/10,2010년 3차
세종,제2010-111호,㈜휴먼에듀피아,"노인돌보미 바우처서비스, 장애인활동보조 바우처서비스, 가사간병방문도우미 바우처서비스, ",일자리제공형,간병가사지원,"류철식, 홍미현",041-868-3651,041-867-0153,"세종특별자치시 조치원읍 새내8길 22-13, 101-111(풍산아파트)",,10/20/10,2010년 3차
충북,제2010-112호,㈜행복도시락(행복담은네모),로컬푸드를 통한 도시락 제조·판매,일자리제공형,기타,곽호근,043-268-7500,043-268-7520,충청북도 청주시 흥덕구 봉명동 228-3,,10/20/10,2010년 3차
충북,제2010-113호,제천YWCA 올리사업단,"친환경농산물유통 매장 운영(콩비지버거, 도시락, 반찬 판매)",일자리제공형,기타,김숙자,043-645-2580,043-644-5005,충청북도 제천시 의병대로16길 6-6(중앙로1가),,10/20/10,2010년 3차
경기,제2010-114호,(사)예봉국악단,"취약계층을위한 국악공연및교육사업, 국악관련 의류 및 액세서리 판매업",기타형,문화예술,윤태길,031-469-8162,031-469-8165,경기도 안양시 안양4동 676-44,www.예봉국악단.kr,10/20/10,2010년 3차
인천,제2010-116호,인천 자바르떼,"소외계층 찾아가는 문화예술교육,공연 기획진행",기타형,문화예술,이찬영,032-261-8327,032-261-6327,"인천광역시 부평구 경원대로 1240번길 5-4(부평동,4층)",,10/20/10,2010년 3차
서울,제2010-118호,사단법인 청소년 흡연음주예방협회,"금연,금주와 관련된 유료교육, 인터넷쇼핑몰 운영 , 취약계층을 대상으로 무료 금연, 금주 교육 실시 ",기타형,보건,윤종필,02-747-1388,02-745-1388,"서울특별시 동작구 동작대로35길 10, 2층(사당동)",www.ynsa.or.kr,12/22/10,2010년 4차
서울,제2010-121호,실버인재센터 협동조합,고령자를 고용한 지하철 택배,일자리제공형,기타,김풍한,02-2266-3072,02-747-5504,"서울특별시 중구 을지로20길 9, 203(을지로4가, 한올빌딩)",www.jsc.or.kr,12/22/10,2010년 4차
서울,제2010-122호,사회복지법인 진각복지재단 진각홈케어 성북센터,"노인재가요양, 장애인활동지원",혼합형,간병가사지원,김상균,02-913-3525,02-913-3524,"서울특별시 성북구 화랑로 21(하월곡동, 5층일부)",www.jgocare.co.kr,12/22/10,2010년 4차
서울,제2010-124호,주식회사 카페티모르,바리스타를 매개로 한 공동체 사업 - 착한 소비·친환경 공정무역 카페티모르,일자리제공형,기타,조여호,02-540-0182,02-2068-7891,서울특별시 영등포구 도림로 428-1(문래동3가),www.peacecoffee.co.kr,12/22/10,2010년 4차
서울,제2010-125호,(주)두비컴뮤니케이션,댄스뮤지컬 사춤 공연,일자리제공형,문화예술,최광일,02-3676-7616,02-6008-7105,서울특별시 종로구 낙원동 284-6 낙원빌딩 502호,www.sachoom.com,12/22/10,2010년 4차
서울,제2010-126호,(주)아시아트레져네트워크,"한국전통문화 체험(숙박,음식,다과 등), 다문화 교류체험, ODA국제컨설팅, 한류 문화 컨설팅",혼합형,관광운동,박진형,02-6365-1002,02-6365-1004,"서울특별시 종로구 율곡로 14길 57 , 401(충신동,에스앤씨빌딩)",atnkorea.com,12/22/10,2010년 4차
서울,제2010-127호,주식회사 놀이나무,박물관체험놀이 기획 및 교육문화사업,일자리제공형,교육,이원영,02-943-4433,02-963-3370,"서울특별시 성북구 보문로30라길 15, 2층(동선동2가)",www.noljaa.co.kr,12/22/10,2010년 4차
서울,제2010-128호,문화예술NGO (예술과시민사회),문화예술연구 사업 및 교육사업,기타형,교육,오상길,02-549-1887,0505-251-1887,"서울특별시 강남구 언주로70길 28-3 (역삼동,B02)",www.artnsociety.net,12/22/10,2010년 4차
서울,제2010-129호,(주)비지팅엔젤스코리아,가사 간병 서비스 제공,일자리제공형,간병가사지원,김한수,02-558-0081,02-2051-6694,서울특별시 강남구 역삼동 707-1 두꺼비빌딩 804,www.visitingangels.co.kr,12/22/10,2010년 4차
서울,제2010-130호,사회복지법인 하상복지회 도서출판 하상점자,"시각장애인 대체자료(점자, 전자, 녹음, 데이지 도서) 제작, 보급",일자리제공형,사회복지,김호식,02-874-9295~6,02-874-9616,서울특별시 강남구 개포동 12-5,www.gacsc.or.kr,12/22/10,2010년 4차
서울,제2010-134호,서울프린지네트워크,"서울프린지페스티벌, 취약계층지원사업 등",기타형,문화예술,오성화,02-325-8150,02-325-8992,"서울특별시 마포구 월드컵로 240 (성산동, 서울월드컵내4층회원실)",www.seoulfringe.net,12/22/10,2010년 4차
서울,제2010-136호,문화로놀이짱,가구를 재활용하여 디자인한 가구 및 소품 판매 등,기타형,문화예술,안연정,02-335-7710,02-335-7789,서울특별시 마포구 성산2동 515-19,www.norizzang.org,12/22/10,2010년 4차
서울,제2010-137호,웹와치주식회사,"웹 표준ㆍ웹 접근성 진단 컨설팅 사업, 웹 표준ㆍ웹 접근성 인증(WA인증) 사업, 영상제작 및 방송콘텐츠 보급 사업",일자리제공형,기타,이범재,02-2678-0078,02-2069-0091,"서울특별시 영등포구 영등포로 143, 6층(당산동1가, 에이블허브)",http://www.webwatch.or.kr,12/22/10,2010년 4차
서울,제2010-138호,사단법인 여성자원금고 행복을파는장사꾼,"비누꽃 생산 및 판매사업, 생화 꽃배달 및 판매사업",일자리제공형,기타,김완수,02-2065-1591,02-2065-1592,서울특별시 강서구 화곡6동 958-12 화곡빌딩3층,http://www.salehappy.co.kr,12/22/10,2010년 4차
서울,제2010-140호,사회복지법인 성요한복지회 그라나다보호작업센터,"커피로스팅, 카페서비스, DM, 직업재활사업",일자리제공형,사회복지,유점화,02-3661-3402,02-3661-3490,서울특별시 강서구 가양동 1470-2,Http://www.granada.or.kr,12/22/10,2010년 4차
서울,제2010-142호,사회복지법인 다운회 아름다운,"과실청 생산, 판매 및 포장임가공 사업",일자리제공형,사회복지,이상춘,02-971-1767,02-971-1769,"서울특별시 중랑구 망우로55길 25, 지하1층(상봉동)",http://www.headami.com,12/22/10,2010년 4차
서울,제2010-143호,사단법인 한국장애인문화인쇄협회,"인쇄업, 장애인직업재활 ",일자리제공형,사회복지,김숙현,02-2683-0955~6,02-2683-0914,서울특별시 구로구 고척동 148-2 1층,,12/22/10,2010년 4차
인천,제2010-144호,(사)한국과학기술캠프협회 인천분사무소,과학기술사회서비스제공 및 취업취약계층을 위한 일자리 창출,일자리제공형,교육,송원헌,032-831-3077,032-245-0658,인천광역시 연수구 옥련동 556-2 청어람빌딩 2층,,12/22/10,2010년 4차
인천,제2010-145호,주식회사 나눔과기쁨효도시락,"식품제조 판매(도시락, 죽)",일자리제공형,사회복지,김영복,032-851-5335,032-862-9128,"인천광역시 연수구 한나루로 183(옥련동, 지하101호)",http://www.joyofsharing.org,12/22/10,2010년 4차
인천,제2010-146호,(사)한국근로장애인진흥회,"지류사업, 문구사업, 임가공사업",일자리제공형,기타,윤기상,032-435-8858,032-435-8859,인천광역시 서구 원당대로 608번안길 9-17(당하동),www.kawd.org,12/22/10,2010년 4차
인천,제2010-148호,주식회사 크린웰,"학교청소, 건물 일상관리 및 기타 입주청소 등 위생관리 용역업",일자리제공형,청소,"박정윤, 황순옥",032-816-0995,032-821-1995,인천광역시 연수구 청학동 488-8,clean-well.kr,12/22/10,2010년 4차
인천,제2010-149호,사단법인 현대공예인협회,"현대공예 홍보, 열린 토탈공예 교육강사 양성",일자리제공형,문화예술,송성희,1588-5902,032-544-4234,"인천광역시 남구 경인로 399, 4층 (주안동, 금복빌딩)",www.hdarts.co.kr,12/22/10,2010년 4차
인천,제2010-150호,주식회사 청솔노인요양센터,"재가장기요양급여제공, 노인재가요양",일자리제공형,사회복지,김준모,032-425-0630,032-425-5630,"인천광역시 남동구 백범로 411, 2층(간석동)",,12/22/10,2010년 4차
인천,제2010-151호,(주)송도에스이,"포스코 건설사옥 미화, 주차관리 업무",일자리제공형,청소,김말숙,032-200-2715,032-200-2707,인천광역시 연수구 송도 180-1,www.songdose.co.kr,12/22/10,2010년 4차
인천,제2010-152호,(주)크린인천,"건물관리,청소,위생관리용역",일자리제공형,청소,이혜란,032-513-1982,032)525-1052,인천광역시 부평구 경원대로 1220(십정동),www.cleanincheon.co.kr,12/22/10,2010년 4차
인천,제2010-153호,주식회사 계양구재활용센터,재활용센터운영,일자리제공형,환경,이준모,032-555-8899,032-555-8898,인천광역시 계양구 계양대로 205번길 11-3(계산동),www.recycle8899.co.kr,12/22/10,2010년 4차
경기,제2010-155호,(주)행복한세상을 만드는 사람들,"도시락사업, 닭고기임가공, 폐자원수집",일자리제공형,사회복지,강선석,1544-7752,031-977-5893,경기도 고양시 일산동구 문원길 82-20(지영동),,12/22/10,2010년 4차
경기,제2010-158호,주식회사 우렁각시매직케어,"인스케어 홈크리닝 전문청소, 가사관리 서비스 , 건물청소 서비스",일자리제공형,청소,김은미,032-679-2921,032-679-2913,"경기도 부천시 원미구 중동로248번길 86(중동,탑프라자201호)",www.bchope.or.kr,12/22/10,2010년 4차
경기,제2010-159호,(사)광명심포니오케스트라,클래식 공연 및 음악교육,혼합형,문화예술,김승복,02-2680-6063,02-2681-7265,경기도 광명시 시청로 20 광명시민회관 1층,www.gsymphony.org,12/22/10,2010년 4차
경기,제2010-161호,신나는문화학교(자바르떼JOBABTE) 경기지부,경기도 소재 복지관 문화예술 강좌,기타형,문화예술,장성희,031-408-8541,031-408-8542,"경기도 안산시 단원구 단원로 67, 2층 201,202,203호(고잔동, 신유상가)",www.jobarte.org,12/22/10,2010년 4차
경기,제2010-162호,(주)고려진공안전,"도로안전용품,태양광 제품",일자리제공형,기타,김광자,031-866-8514,031-866-8516,경기도 양주시 백석읍 연곡리 217-3,www.roadmirror.co.kr,12/22/10,2010년 4차
경기,제2010-163호,㈜더 올가,"도시락 및 위탁급식, 반찬제조, 출장뷔페",일자리제공형,기타,이순화,031-511-0008,031-574-0071,경기도 남양주시 경춘로691번길 42 (일패동),www.sufood.co.kr,12/22/10,2010년 4차
경기,제2010-164호,(사)해밝음장애인복지회,"화훼재배 및 판매사업, 장애인 편의시설 설치사업 ",일자리제공형,기타,조동표,031-573-7123,031-573-7156,경기도 남양주시 진건읍 용정리 651-4,www.sunflower365.co.kr,12/22/10,2010년 4차
경기,제2010-165호,사회복지법인 교남재단 교남어유지동산,중증장애인의 직업재활을 위한 사회적 농장 운영,일자리제공형,사회복지,권세진,031-958-8593,031-959-0703,경기도 파주시 적성면 어못내길 94-44,www.kyonamdongsan.com,12/22/10,2010년 4차
강원,제2010-168호,주식회사 다문화사회적기업어울림,"농산물 텃밭재배 및 판매, 농한기 저장 가공식품 개발 및 판매, 제철꾸러미 및 다문화벼룩시장, 학교급식 농산물 납품, 어울림 매장운영, 도시형 미니텃밭 개발 및 판매, 체험교육 등",일자리제공형,사회복지,최창덕,033-433-1915,033-648-5264,"강원도 홍천군 홍천읍 희망로4길 18, 305호",www.eyeinhc.kr,12/22/10,2010년 4차
강원,제2010-169호,주식회사 청코리아,"청소 및 소독, 위생관리",일자리제공형,청소,홍정표,033-765-7474,033-433-1910,강원도 원주시 호저면 감박산길 11,,12/22/10,2010년 4차
강원,제2010-171호,원주푸드협동조합,"로컬푸드, 친환경급식",기타형,기타,박영학,"033-734-1845, 745-1844","033-734-1846, 765-1845",강원도 원주시 호저면 칠봉로 6-12,,12/22/10,2010년 4차
부산,제2010-172호,동의학원 전포종합사회복지관 빵카페 PPANGJIP,"중증 지적장애인 등 취약계층을 고용하여 제과제빵 생산, 식음료 제조 및 판매, 카페형 매장 운영",일자리제공형,기타,양성필,051-802-6368,051-802-6373,부산광역시 부산진구 전포대로 190번길 35 전포종합사회복지관,www.ppangjip.co.kr,12/22/10,2010년 4차
부산,제2010-173호,부산자연체험교육단 자연愛친구들,"생태·환경 교육 및 체험서비스 제공, 환경 관련 부스 및 캠프 운영 등",기타형,교육,주정현,051-506-1860,051-507-1858,"부산광역시 연제구 월드컵대로91번가길 28, 402(연산동, 4층)",cafe.daum.net/eco-1004,12/22/10,2010년 4차
경남,제2010-175호,주식회사 태현에프앤에스,"청소, 경비",일자리제공형,청소,이영곤,055-532-4616,055-532-4617,경상남도 창녕군 창녕읍 화왕산로 163,,12/22/10,2010년 4차
경남,제2010-176호,사단법인 함께하는 여성,맞벌이 가정 영·유아 보육 및 장난감 대여 서비스 사업,일자리제공형,보육,이정자 ,055-245-8747,055-231-5442,"경상남도 창원시 마산함포구 중앙북5길 20, 3층(중앙동3가, 마산YWCA)",www.mommyplus.or.kr,12/22/10,2010년 4차
울산,제2010-177호,사회복지법인 어울림복지재단 다(茶)드림사업단,"이주여성 바리스타양성을 통한 카페운영, 다문화인식개선활동",일자리제공형,기타,윤운룡,070-4035-8646,052-296-3975,"울산광역시 북구 동대8길 40(호계동, 가동)",www.cafedadream.kr,12/22/10,2010년 4차
울산,제2010-178호,사회적협동조합 태화루예술단,"전통문화공연, 사회문화교육사업",기타형,문화예술,김관,052-244-2008,052-244-2019,"울산광역시 중구 새즈믄해거리 10, 2층(성남동)",www.munhwa21.org,12/22/10,2010년 4차
울산,제2010-179호,주식회사 희망울타리,"화훼사업, 청소용역",일자리제공형,청소,정선숙,052-298-1210,052-267-2009,울산광역시 북구 제내4길 16-6(신천동),ulsanlove.com,12/22/10,2010년 4차
대구,제2010-180호,사회복지법인 함께하는마음재단 대구남구시니어클럽 행복한노인일터사업단,"떡 제조, 재활용품 재판매",일자리제공형,기타,서인제,053-471-8090,053-476-6634,대구광역시 남구 이천동 318-5,dgsilverwork.org,12/22/10,2010년 4차
대구,제2010-181호,대구현대음악 오케스트라,예술교육사업 및문화저변확대,일자리제공형,문화예술,최홍기,070-4112-2077,053-289-0654,대구광역시 남구 대명2동 1800-1 남구보훈회관 지하1층,www.dcmo.kr,12/22/10,2010년 4차
대구,제2010-182호,(사)한지나라공예문화협회,"전통한지공예 , 전문인력 양성교육",일자리제공형,교육,이맹자,053-555-3345,053-555-3346,대구광역시 서구 비산동 251-3 ,hanjiworld.org,12/22/10,2010년 4차
대구,제2010-183호,꿈꾸는씨어터㈜,전통문화예술컨텐츠 개발,일자리제공형,문화예술,김강수,1600-8325,053-655-3931,"대구광역시 남구 현충로 148(대명동, 지하1층)",kkumter.co.kr,12/22/10,2010년 4차
경북,제2010-185호,주식회사 경주고택,"고택보존,고택체험",일자리제공형,관광운동,박훈천,054-774-1950,054-741-1950,경상북도 경주시 서악4길 32(서약동),silla.or.kr,12/22/10,2010년 4차
광주,제2010-187호,(주)다우환경,"위생관리용역,학교,건물 등 청소, 소독방역, 청소장비, 물품 판매",일자리제공형,청소,"이정일, 서유미",062-512-7482,062-512-7484,"광주광역시 북구 우치로 25(중흥동, 2층)",,12/22/10,2010년 4차
